EmployeeID,Age,Gender,Department,JobRole,MonthlyIncome,SalaryBand,TotalWorkingYears,YearsAtCompany,YearsInRole,NumCompaniesWorked,TrainingTimesLastYear,PromotionsLast5Years,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,OverTime,MaritalStatus,DistanceFromHome,Education,StockOptionLevel,Attrition
E200000,58,Female,R&D,Data Analyst,70639,High,17,8,7,0,7,1,2,3,3,3,Yes,Married,20,Below College,1,Yes
E200001,48,Female,HR,Team Lead,41326,Low,14,17,10,1,7,0,1,1,4,1,No,Divorced,59,College,2,No
E200002,34,Female,R&D,Team Lead,24597,Low,14,16,13,3,9,1,2,3,1,2,No,Single,17,Below College,1,No
E200003,27,Female,IT,Sales Executive,122840,Medium,5,14,12,1,7,0,4,3,2,1,Yes,Married,58,Below College,1,No
E200004,40,Female,Finance,Finance Analyst,50788,High,30,18,8,3,6,0,3,2,2,2,No,Single,25,Master,1,Yes
E200005,58,Female,Sales,Finance Analyst,85020,High,27,6,6,3,1,1,3,1,3,3,Yes,Married,19,Below College,1,Yes
E200006,38,Male,Finance,Laboratory Technician,69477,Medium,7,17,12,3,2,1,4,3,1,3,Yes,Single,42,Below College,1,Yes
E200007,42,Female,R&D,Team Lead,128261,Low,28,5,2,0,8,1,1,4,1,3,No,Divorced,8,Doctor,1,Yes
E200008,30,Male,R&D,Data Analyst,122466,Medium,20,18,11,8,1,1,2,1,1,3,Yes,Single,52,Doctor,0,Yes
E200009,30,Female,Finance,Manager,53071,High,16,11,5,9,6,1,3,2,3,3,Yes,Divorced,11,Master,0,Yes
E200010,43,Female,Marketing,Sales Executive,90603,High,23,2,2,6,0,1,4,4,1,3,Yes,Divorced,13,College,0,Yes
E200011,55,Male,R&D,Sales Executive,81923,Low,35,0,9,1,2,1,1,3,2,2,No,Married,13,Doctor,1,Yes
E200012,59,Female,HR,Data Analyst,90560,High,30,4,3,2,0,0,3,3,1,2,No,Married,9,Below College,0,Yes
E200013,43,Male,HR,Manager,93251,High,33,0,11,7,5,0,4,1,1,1,No,Single,5,Bachelor,2,Yes
E200014,22,Male,R&D,Laboratory Technician,144320,High,1,7,3,6,3,1,2,3,3,4,Yes,Divorced,18,Doctor,2,No
E200015,41,Male,R&D,Human Resources,77492,Low,2,6,2,3,0,0,4,1,4,2,No,Married,40,Bachelor,2,Yes
E200016,21,Female,Marketing,Team Lead,51770,High,29,14,9,3,4,0,1,3,4,2,No,Divorced,52,College,0,Yes
E200017,43,Female,HR,Finance Analyst,96762,Medium,7,10,5,8,3,0,3,4,3,4,Yes,Divorced,14,Below College,1,No
E200018,49,Female,R&D,Data Analyst,55399,Low,6,17,4,4,9,0,2,2,3,4,No,Divorced,34,Doctor,2,Yes
